trader_type,horizon,mean,sem,n
INFORMED,0,-0.04208599330396476,0.0004314353225212918,4540
INFORMED,10,-0.04250159845303867,0.000717170425233955,4525
INFORMED,50,-0.04161554317567567,0.0013153222208761,4440
INFORMED,settle,-0.051314453700440535,0.007691304317212584,4540
NOISE,0,0.019700610737307677,0.00033507131464427417,21253
NOISE,10,0.020007473900293254,0.0004208886745583389,21142
NOISE,50,0.020231979594692397,0.0006589853397546285,20725
NOISE,settle,0.015398335284430433,0.0035476397301524953,21253
VALUE,0,-0.021872757090123342,0.00036879779120288606,11107
VALUE,10,-0.021684150759905915,0.0005083206294749451,11054
VALUE,50,-0.021838523414050272,0.0008685125613797287,10861
VALUE,settle,-0.01841427340415954,0.004928203928526956,11107
