calibration_bias,seed,terminal_pnl,fill_count,spread_capture,adverse_selection,settlement_noise,identity_error,as_INFORMED,as_VALUE,as_NOISE
-0.1,0,-248.35888530930376,1179,23.580000000000027,-98.29407866475654,-173.64480664454754,3.126388037344441e-13,-59.29382518902729,-36.32612328740366,-2.6741301883256066
-0.1,1,562.7570631339189,1165,23.300000000000026,-94.30936003384825,633.7664231677654,1.7053025658242404e-12,-60.05518361254822,-35.401188657395295,1.147012236095264
-0.1,2,384.24334325662954,1141,22.820000000000014,-94.48544330419561,455.90878656082486,2.8421709430404007e-13,-58.19542072487981,-36.05667917970648,-0.23334339960932216
-0.1,3,380.93528166905617,1142,22.55037838294618,-88.87768695028097,447.26259023639165,6.821210263296962e-13,-57.576341221262155,-32.780295239999006,1.4789495109801691
-0.1,4,294.7306109973142,1115,21.66623089977994,-82.63301423565456,355.69739433318904,2.2737367544323206e-13,-55.908779821210175,-28.877495217827732,2.1532608033833576
-0.1,5,-550.8277287929604,1113,20.356518551443138,-79.6609145227377,-491.5233328216663,4.547473508864641e-13,-49.82851406964859,-30.37633926961006,0.5439388165209634
-0.1,6,366.8097511024214,1131,22.070128693613455,-86.8180723593587,431.55769476816766,1.0231815394945443e-12,-54.33045522742127,-34.235830655579036,1.7482135236416083
-0.1,7,-330.94163655190385,1160,23.20000000000002,-95.57120317189069,-258.57043338001336,1.7053025658242404e-13,-62.39779248092975,-34.67106215413401,1.4976514631730915
-0.1,8,256.95060970397896,1138,21.77155632594351,-85.77235147797876,320.95140485601434,1.1368683772161603e-13,-52.17551299450304,-32.366585690748515,-1.230252792727219
-0.1,9,158.75580380271936,1103,21.090372401857014,-88.3617959577578,226.02722735861997,1.7053025658242404e-13,-53.21241463906867,-35.31120267119812,0.161821352508988
-0.1,10,-306.1862053777245,1193,23.86000000000002,-96.37734336489841,-233.6688620128268,6.821210263296962e-13,-59.32212963900365,-37.49368606485264,0.4384723389578948
-0.1,11,-574.5383001784191,1137,22.128886176814305,-90.77381768705587,-505.89336866817786,2.2737367544323206e-13,-55.51587608368668,-35.751140860177564,0.4931992568083623
-0.1,12,-554.9063631270749,1020,17.69967262592735,-69.00008113851969,-503.60595461448276,2.2737367544323206e-13,-43.631153060519125,-25.91853924253597,0.5496111645354078
